Type_of_Coarse_Aggregate,Type_of_Fine_Aggregate,Max_Size_of_Coarse_Aggregate(mm),Passing_0.6_mm_sieve(%),Target_Mean_Strength(MPa),Cement_O.P.C.(kg/m3),W/C_Ratio,Water_Content(kg/m3),Total_Aggregate(kg/m3),Fine_Aggregate(kg/m3),Coarse_Aggregate(kg/m3),Workability_Slump(mm),Hardened_Concrete_Density_(avg.),7_day_str(MPa),28_day_str(MPa),Admix_1,Admix_2,Dos_1(lit),Dos_2(lit),,
Crushed,Crushed,40,21.8,38,340,0.56,190,1910,860,1050,120,2445,32.5,0,SI,NA,1.25,0,,
Crushed,Crushed,40,21.8,38,340,0.56,190,1910,860,1050,140,2446,36.7,0,SI,NA,1.25,0,,
Crushed,Crushed,40,21.8,38,340,0.56,190,1910,860,1050,120,2447,32.5,43.5,SI,NA,1.25,0,,
Natural,Natural,20,48.9,38,380,0.5,190,1810,760,1050,165,2387,25,0,NA,NA,0,0,,
Natural,Natural,20,48.9,38,380,0.5,190,1810,760,1050,165,2390,25,30,NA,NA,0,0,,
Crushed,Natural,20,26.9,38,350,0.4,190,1920,865,1055,180,2462,30.5,0,SP,NA,0.9,0,,
Natural,Natural,20,57.9,38,340,0.49,165,1895,835,1060,190,2404,30.3,0,SP,NA,1,0,,
Crushed,Natural,20,32.4,38,365,0.47,170,1925,865,1060,220,2456,32.8,0,NA,NA,0,0,,
Crushed,Natural,20,32.4,38,365,0.47,170,1925,865,1060,170,2460,39.2,0,X-,NA,1.5,0,,
Crushed,Natural,20,32.4,38,365,0.47,170,1925,865,1060,170,2455,39.8,49.1,X-,NA,1.5,0,,
Crushed,Natural,20,32.4,38,365,0.47,170,1925,865,1060,220,2453,32.8,39.3,X-,NA,0.7,0,,
Natural,Natural,20,36.7,38,350,0.47,165,1880,810,1070,200,2395,33.1,39.2,R2,NA,0.8,0,,
Natural,Natural,20,36.7,38,350,0.47,165,1880,810,1070,200,2396,33.1,0,R2,NA,0.8,0,,
