Type_of_Coarse_Aggregate,Type_of_Fine_Aggregate,Max_Size_of_Coarse_Aggregate(mm),Passing_0.6_mm_sieve(%),Target_Mean_Strength(MPa),Cement_O.P.C.(kg/m3),W/C_Ratio,Water_Content(kg/m3),Total_Aggregate(kg/m3),Fine_Aggregate(kg/m3),Coarse_Aggregate(kg/m3),Workability_Slump(mm),Hardened_Concrete_Density_(avg.),7_day_str(MPa),28_day_str(MPa),Admix_1,Admix_2,Dos_1(lit),Dos_2(lit),,
Natural,Natural,20,46.9,38,360,0.51,185,1870,710,1160,120,2395,31.3,0,NA,NA,0,0,,
Natural,Natural,20,46.9,38,360,0.51,185,1870,710,1160,120,2392,31.3,41.4,NA,NA,0,0,,
Natural,Natural,20,25,38,325,0.51,165,1910,745,1165,150,2405,31.4,36.9,SP,NA,1,0,,
Crushed,Natural,20,29.7,38,350,0.54,190,1910,745,1165,150,2455,23.1,32,SP,NA,0.75,0,,
Crushed,Natural,20,29.7,38,350,0.54,190,1910,745,1165,150,2456,23.1,0,SP,NA,0.75,0,,
Natural,Natural,20,25,38,350,0.51,165,1910,745,1165,150,2406,31.4,0,SP,NA,1,0,,
Natural,Natural,20,48.1,38,350,0.49,170,1880,715,1165,150,2408,32.2,0,SP,NA,1,0,,
Natural,Natural,40,50.2,38,350,0.5,175,1865,700,1165,70,2395,27.6,33.6,NA,NA,0,0,,
Natural,Natural,40,50.2,38,350,0.5,175,1865,700,1165,70,2395,27.6,0,NA,NA,0,0,,
Natural,Natural,40,30.3,38,350,0.5,175,1865,700,1165,120,2493,29.4,0,NA,NA,0,0,,
Natural,Natural,40,28,38,325,0.49,160,1915,747,1168,110,2402,30.8,40,SI,NA,0.75,0,,
Natural,Natural,40,28,38,325,0.49,160,1915,477,1168,110,2401,26,0,SI,NA,0.8,0,,
Natural,Natural,40,28,38,325,0.49,160,1915,747,1168,110,2402,26,30.8,SI,NA,0.8,0,,
Natural,Natural,40,50.5,38,320,0.5,160,1920,750,1170,160,2404,27.6,34,SI,NA,1,0,,
Natural,Natural,40,50.5,38,320,0.5,160,1920,750,1170,160,2404,27.6,0,SI,NA,1,0,,
Crushed,Natural,20,49,38,350,0.47,165,1855,715,1170,135,2407,33.9,45.7,PE,NA,1,0,,
Crushed,Natural,20,49,38,350,0.47,165,1855,715,1170,135,2405,27.8,33.9,PE,NA,2,0,,
Natural,Natural,20,48.8,38,350,0.48,165,1885,715,1170,200,2403,27.8,32.6,RE,NA,1,0,,
Crushed,Natural,20,49,38,350,0.47,165,1855,715,1170,135,2405,27.8,0,PE,NA,2,0,,
Natural,Natural,20,37.6,38,350,0.46,160,1890,720,1170,200,2406,32.4,0,SI,NA,1,0,,
Natural,Natural,20,0,38,350,0.48,165,1885,715,1170,200,2403,27.8,0,RE,NA,1,0,,
Natural,Natural,20,37.6,38,350,0.46,160,1890,720,1170,200,2404,32.4,41.3,SI,NA,1,0,,
Natural,Natural,40,50.7,38,350,0.47,165,1885,715,1170,150,2405,28.3,0,SP,NA,0.75,0,,
Natural,Natural,40,34.2,38,350,0.54,190,1885,715,1170,100,2404,19.9,0,NA,NA,0,0,,
Natural,Natural,40,37.9,38,350,0.47,165,1885,715,1170,165,2405,36.7,0,NA,NA,0,0,,
Natural,Natural,20,38,38,365,0.48,175,1860,690,1170,150,2404,31.1,38.9,SP,NA,0.75,0,,
Natural,Natural,20,38,38,365,0.48,175,1860,690,1170,150,2403,31.1,0,SP,NA,0.75,0,,
Crushed,Natural,20,33.1,38,375,0.51,190,1885,715,1170,120,2452,24.9,31.5,NA,NA,0,0,,
Crushed,Natural,20,33.1,38,375,0.51,190,1885,715,1170,120,2450,24.9,0,NA,NA,0,0,,
Natural,Natural,40,42.6,38,340,0.47,160,1900,725,1175,150,2405,28,34.6,JY,NA,1.25,0,,
Natural,Natural,40,42.6,38,340,0.47,169,1900,725,1175,150,2405,28,0,IY,NA,1.25,0,,
Crushed,Natural,20,26.3,38,350,0.54,190,1900,725,1175,150,2449,34.6,0,NA,NA,0,0,,
Crushed,Natural,20,26.3,38,350,0.54,190,1900,725,1175,150,2443,34.6,40.5,NA,NA,0,0,,
Natural,Natural,40,20.5,38,350,0.5,175,1875,700,1175,120,2404,25.3,34.3,NA,NA,0,0,,
Natural,Natural,40,20.5,38,350,0.5,175,1875,700,1175,120,2406,25.3,0,NA,NA,0,0,,
Crushed,Natural,20,62.9,38,365,0.53,195,1880,695,1175,100,2443,25.1,33.4,NA,NA,0,0,,
Crushed,Natural,20,62.9,38,365,0.53,195,1880,695,1175,100,2442,25.1,0,NA,NA,0,0,,
Natural,Natural,40,37.8,38,350,0.47,165,1885,715,1179,165,2403,36.7,42.5,SP,NA,1,0,,
Natural,Natural,20,72.9,38,350,0.5,175,1875,695,1180,105,2405,26.8,0,NA,NA,0,0,,
Natural,Natural,20,45.9,38,350,0.51,180,1870,690,1180,100,2405,17.9,25.3,NA,NA,0,0,,
Natural,Natural,20,45.9,38,350,0.51,180,1870,690,1180,100,2404,17.9,0,NA,NA,0,0,,
Natural,Natural,20,72.9,38,350,0.5,175,1875,695,1180,105,2405,26.8,37.5,NA,NA,0,0,,
Crushed,Natural,20,40,38,350,0.53,184,1905,725,1180,180,2464,29.1,0,NA,NA,0,0,,
Crushed,Natural,20,43.3,38,350,0.5,185,1905,725,1180,150,2453,30.8,0,NA,NA,0,0,,
Natural,Natural,40,44,38,350,0.51,180,1970,690,1180,100,2405,26.1,0,NA,NA,0,0,,
Natural,Natural,40,0,38,350,0.51,165,1845,665,1180,160,2404,30,34.3,SP,NA,3,0,,
Natural,Natural,40,0,38,350,0.51,165,1845,665,1180,160,2404,30,0,SP,NA,3,0,,
Crushed,Natural,40,14.7,38,350,0.51,100,1870,690,1180,100,2404,19.4,24.5,NA,NA,0,0,,
Crushed,Natural,40,14.7,38,350,0.51,180,1870,690,1180,100,2404,19.4,0,NA,NA,0,0,,
Natural,Natural,40,44,38,350,0.51,180,1870,690,1180,100,2406,26.1,32.7,NA,NA,0,0,,
Natural,Natural,40,41.4,38,350,0.51,180,1870,690,1180,130,2404,19.7,27.2,NA,NA,0,0,,
Natural,Natural,40,41.4,38,350,0.51,180,1870,690,1180,130,2403,19.7,0,NA,NA,0,0,,
Natural,Natural,40,15.4,38,350,0.5,175,1875,695,1180,100,2403,28.1,38.6,NA,NA,0,0,,
Natural,Natural,40,67.4,38,350,0.5,175,1875,695,1180,140,2403,27.7,36,NA,NA,0,0,,
Natural,Natural,40,15.4,38,350,0.5,175,1875,695,1180,100,2404,28.1,0,NA,NA,0,0,,
Natural,Natural,40,67.4,38,350,0.5,175,1875,695,1180,140,2401,27.7,0,NA,NA,0,0,,
Natural,Natural,40,22.7,38,350,0.5,175,1875,695,1180,120,2406,24.2,36.7,NA,NA,0,0,,
Natural,Natural,40,47.5,38,350,0.5,180,1875,695,1180,120,2406,24.2,0,NA,NA,0,0,,
Crushed,Natural,40,35.1,38,350,0.53,185,1905,725,1180,90,2444,29.4,40.2,NA,NA,0,0,,
Natural,Natural,40,42.1,38,360,0.5,180,1850,670,1180,125,2385,24.3,34.8,NA,NA,0,0,,
Natural,Natural,40,42.1,38,360,0.5,180,1850,670,1180,125,2387,24.3,0,NA,NA,0,0,,
Natural,Natural,40,32.4,38,350,0.51,153,1907,725,1182,220,2403,30.8,0,X-,NA,0.7,0,,
Natural,Natural,40,32.4,38,350,0.44,153,1907,725,1182,220,2437,37,0,X-,NA,1.5,0,,
Natural,Natural,40,32.4,38,350,0.44,153,1907,725,1182,220,2435,37,43.4,X-,NA,1.5,0,,
Natural,Natural,40,32.4,38,350,0.44,153,1907,725,1182,220,2405,30.8,34.9,X-,NA,0.7,0,,
Natural,Natural,20,57,38,340,0.49,165,1880,695,1185,200,2403,32.6,41.9,SP,NA,0.75,0,,
Natural,Natural,20,57,38,340,0.49,190,1880,695,1185,200,2405,32.6,0,SP,NA,0.75,0,,
Crushed,Natural,20,30.2,38,350,0.53,185,1915,730,1185,140,2456,28.9,39.9,SP,NA,1,0,,
Crushed,Natural,20,30.2,38,350,0.53,185,1915,730,1185,140,2458,28.9,0,SP,NA,1,0,,
Natural,Natural,20,54.3,38,350,0.49,170,1880,695,1185,130,2396,27.7,30,SD,NA,0.75,0,,
Natural,Natural,20,54.3,38,350,0.49,170,1880,695,1185,130,2403,27.7,0,SD,NA,0.75,0,,
Natural,Natural,20,57.8,38,350,0.49,170,1880,695,1185,110,2409,32.6,40.1,NA,NA,0,0,,
Natural,Natural,20,57.8,38,350,0.49,170,1880,695,1185,110,2407,32.6,0,NA,NA,0,0,,
Crushed,Natural,20,43.6,38,350,0.54,190,1910,725,1185,120,2452,25.4,37.7,NA,NA,0,0,,
Crushed,Natural,20,43.6,38,350,0.54,190,1910,725,1185,120,2454,25.4,0,NA,NA,0,0,,
Crushed,Natural,20,43.9,38,350,0.54,190,1910,725,1185,175,2454,29,0,NA,NA,0,0,,
Crushed,Natural,20,43.9,38,350,0.54,190,1910,725,1185,175,2459,29,36.3,NA,NA,0,0,,
Natural,Natural,20,48.2,38,350,0.5,175,1855,670,1185,200,2386,32.9,0,SP,NA,0.9,0,,
Natural,Natural,20,48.2,38,350,0.5,175,1855,670,1185,200,2385,32.9,42.4,SP,NA,0.9,0,,
Natural,Natural,40,42.7,38,350,0.49,170,1880,695,1185,155,2399,26.9,33.2,NA,NA,0,0,,
Natural,Natural,40,42.7,38,350,0.49,170,1880,695,1185,155,2407,26.9,0,NA,NA,0,0,,
Natural,Natural,40,0,38,350,0.51,180,1850,665,1185,150,2389,25.3,0,NA,NA,0,0,,
Natural,Natural,40,0,38,350,0.51,180,1850,665,1185,150,2388,25.3,0,NA,NA,0,0,,
Natural,Natural,40,0,38,350,0.51,180,1850,665,1185,150,2389,25.3,29.3,NA,NA,0,0,,
Natural,Natural,40,41.1,38,350,0.5,175,1855,670,1185,120,2385,24.4,0,NA,NA,0,0,,
Natural,Natural,40,41.1,38,350,0.5,175,1855,670,1185,120,2384,24.4,32.5,NA,NA,0,0,,
Natural,Natural,40,0,38,360,0.51,180,1850,665,1185,170,2389,23.5,0,NA,NA,0,0,,
Natural,Natural,40,0,38,360,0.51,180,1850,665,1185,170,2397,23.5,29.6,NA,NA,0,0,,
Natural,Natural,40,24,38,325,0.49,160,1915,725,1190,175,2406,31.5,42.2,EU,NA,1,0,,
Natural,Natural,40,32.7,38,325,0.49,160,1915,715,1190,165,2406,23,0,RE,NA,0.75,0,,
Natural,Natural,40,32.7,38,325,0.49,160,1915,725,1190,165,2405,23,28.6,RE,NA,0.75,0,,
Natural,Natural,40,24,38,325,0.49,160,1915,725,1190,175,2405,31.5,0,EU,NA,1,0,,
Crushed,Natural,20,33.2,38,350,0.53,185,1915,725,1190,150,2455,29.4,39.9,SP,NA,3.5,0,,
Crushed,Natural,20,33.2,38,350,0.53,185,1915,725,1190,150,2455,32.3,0,SP,NA,3.5,0,,
Crushed,Natural,20,50.7,38,350,0.54,190,1920,730,1190,150,2455,24.1,32.7,NA,NA,0,0,,
Crushed,Natural,20,50.7,38,350,0.54,190,1920,730,1190,150,2455,24.1,0,NA,NA,0,0,,
Natural,Natural,20,42,38,350,0.46,160,1890,700,1190,200,2403,25.9,0,RE,NA,0.75,0,,
Natural,Natural,20,42,38,350,0.46,160,1890,700,1190,200,2403,25.9,31.7,RE,NA,0.75,0,,
Crushed,Natural,40,67.4,38,350,0.54,190,1890,700,1190,135,2434,30.4,41.5,NA,NA,0,0,,
Crushed,Natural,40,67.4,38,350,0.54,190,1890,700,1190,135,2435,30.4,0,NA,NA,0,0,,
Natural,Natural,40,22.7,38,350,0.5,175,1865,675,1190,100,2400,31.4,39.8,NA,NA,0,0,,
Natural,Natural,40,22.7,38,350,0.5,175,1865,675,1190,100,2402,31.4,0,NA,NA,0,0,,
Natural,Natural,40,36.9,38,350,0.5,175,1860,670,1190,90,2390,23.6,30.3,NA,NA,0,0,,
Natural,Natural,40,36.9,38,350,0.5,175,1860,670,1190,110,2389,22.1,28.4,NA,NA,0,0,,
Natural,Natural,40,36.9,38,350,0.5,175,1860,670,1190,110,2388,22.1,0,NA,NA,0,0,,
Natural,Natural,40,36.9,38,350,0.5,175,1860,670,1190,90,2394,24.4,0,NA,NA,0,0,,
Natural,Natural,40,37.1,38,360,0.5,180,1860,670,1190,130,2403,28.1,0,NA,NA,0,0,,
Natural,Natural,40,37.1,38,360,0.5,180,1860,670,1190,130,2404,28.1,36.3,NA,NA,0,0,,
Natural,Natural,40,58,38,365,0.49,180,1835,645,1190,70,2391,24.4,29.8,NA,NA,0,0,,
Natural,Natural,40,58,38,365,0.49,180,1835,645,1190,70,2392,24.4,0,NA,NA,0,0,,
Natural,Natural,20,0,38,350,0.51,180,1870,675,1195,100,2405,20.7,29.3,NA,NA,0,0,,
Natural,Natural,20,67,38,350,0.51,180,1870,675,1195,100,2407,20.7,0,NA,NA,0,0,,
Natural,Natural,20,62.3,38,350,0.51,180,1870,750,1195,150,2406,25.7,0,NA,NA,0,0,,
Natural,Natural,20,67.3,38,350,0.49,170,1870,675,1195,150,2385,29.5,40.9,RE,NA,1,0,,
Natural,Natural,20,67.3,38,350,0.49,170,1870,675,1195,150,2395,29.5,0,RE,NA,1,0,,
Natural,Natural,40,42.5,38,350,0.51,180,1870,675,1195,150,2403,20.1,0,NA,NA,0,0,,
Natural,Natural,40,26.2,38,350,0.51,180,1870,675,1195,150,2403,25,0,SP,NA,1,0,,
Natural,Natural,40,56.6,38,350,0.51,180,1870,675,1195,100,2404,19.7,27.4,NA,NA,0,0,,
Natural,Natural,40,66.5,38,350,0.51,180,1870,675,1195,140,2406,15.6,20.7,NA,NA,0,0,,
Natural,Natural,40,21.1,38,350,0.51,180,1870,675,1195,100,2405,15.9,0,NA,NA,0,0,,
Natural,Natural,40,56.6,38,350,0.51,180,1870,675,1195,100,2403,19.7,0,NA,NA,0,0,,
Natural,Natural,40,66.5,38,350,0.51,180,1870,675,1195,140,2403,15.6,0,NA,NA,0,0,,
Natural,Natural,40,59.8,38,350,0.51,180,1870,675,1195,100,2409,23,34.7,NA,NA,0,0,,
Natural,Natural,40,58.9,38,350,0.51,180,1870,675,1195,100,2406,23,0,NA,NA,0,0,,
Natural,Natural,40,59.8,38,350,0.51,180,1870,675,1195,100,2406,23,0,NA,NA,0,0,,
Natural,Natural,40,20,38,350,0.51,180,1870,750,1195,150,2405,25.7,34,NA,NA,0,0,,
Natural,Natural,40,42,38,350,0.51,180,1870,675,1195,90,2407,22.2,0,NA,NA,0,0,,
Natural,Natural,40,0,38,350,0.51,180,1870,675,1195,110,2403,22.8,27.9,NA,NA,0,0,,
Natural,Natural,40,0,38,350,0.51,180,1870,675,1195,110,2403,22.8,0,NA,NA,0,0,,
Natural,Natural,40,42,38,350,0.51,180,1970,675,1195,90,2406,22.2,27.2,NA,NA,0,0,,
Natural,Natural,40,49.7,38,350,0.5,175,1865,670,1195,120,2397,19.9,0,NA,NA,0,0,,
Natural,Natural,40,49.7,38,350,0.5,175,1865,670,1195,120,2387,19.9,25.4,NA,NA,0,0,,
Natural,Natural,40,70.7,38,220,0.5,165,1905,705,1200,125,2403,31.4,39.9,RE,NA,1,0,,
Crushed,Natural,20,30.2,38,300,0.62,185,1965,765,1200,120,2456,19,0,SP,NA,0.75,0,,
Natural,Natural,40,28.5,38,325,0.5,175,1875,675,1200,120,2406,22.1,0,NA,NA,0,0,,
Natural,Natural,40,28.5,38,325,0.51,175,1875,675,1200,120,2409,22.1,29.9,NA,NA,0,0,,
Natural,Natural,40,70.7,38,330,0.5,165,1905,705,1200,125,2405,31.4,0,RE,NA,1,0,,
Natural,Natural,20,44.6,38,350,0.51,170,1880,680,1200,100,2404,21.2,29.2,NA,NA,0,0,,
Natural,Natural,20,64.4,38,350,0.51,170,1880,680,1200,100,2405,21.2,0,NA,NA,0,0,,
Natural,Natural,20,54,38,350,0.5,175,1875,675,1200,150,2407,28.6,34,NA,NA,0,0,,
Natural,Natural,40,46,38,350,0.5,175,1875,675,1200,120,2405,20.5,27.1,NA,NA,0,0,,
Natural,Natural,40,36.5,38,350,0.5,175,1875,675,1200,100,2404,23,27.7,NA,NA,0,0,,
Natural,Natural,40,36.5,38,350,0.5,175,1875,675,1200,100,2403,23,0,NA,NA,0,0,,
Natural,Natural,40,46,38,350,0.5,175,1875,675,1200,120,2404,20.5,0,NA,NA,0,0,,
Natural,Natural,40,60.5,38,350,0.5,175,1875,675,1200,150,2403,21.9,32.2,SP,NA,0.75,0,,
Natural,Natural,40,60.5,38,350,0.5,175,1875,675,1200,150,2404,21.9,0,SP,NA,0.75,0,,
Natural,Natural,40,41.6,38,350,0.52,175,1875,675,1200,110,2406,25,33.8,NA,NA,0,0,,
Natural,Natural,40,41.6,38,350,0.52,175,1875,675,1200,110,2405,25,0,NA,NA,0,0,,
Natural,Natural,40,61.5,38,350,0.5,175,1875,675,1200,100,2406,19.2,25.2,NA,NA,0,0,,
Natural,Natural,40,60.3,38,350,0.5,175,1875,675,1200,150,2406,27,36.4,NA,NA,0,0,,
Natural,Natural,40,60.3,38,350,0.5,175,1875,675,1200,150,2402,27,0,NA,NA,0,0,,
Natural,Natural,40,61.5,38,350,0.5,175,1875,675,1200,100,2403,29.2,0,NA,NA,0,0,,
Natural,Natural,40,54,38,350,0.5,175,1875,675,1200,150,1404,28.6,0,NA,NA,0,0,,
Natural,Natural,40,46.2,38,350,0.47,165,1885,685,1200,205,2401,31.1,0,SP,NA,1,0,,
Natural,Natural,40,46.2,38,350,0.47,165,1885,685,1200,205,2406,31.1,36.2,NA,NA,0,0,,
Natural,Natural,40,50,38,350,0.5,175,1875,675,1200,130,2406,27.9,0,NA,NA,0,0,,
Natural,Natural,40,50,38,350,0.5,175,1875,675,1200,130,2406,27.9,33.5,NA,NA,0,0,,
Natural,Natural,40,0,38,350,0.51,180,1850,650,1200,100,2384,26.2,0,NA,NA,0,0,,
Natural,Natural,40,0,38,350,0.51,180,1850,650,1200,100,2484,26.2,36.7,NA,NA,0,0,,
Natural,Natural,40,11,38,350,0.5,175,1855,655,1200,100,2382,27.8,0,NA,NA,0,0,,
Natural,Natural,40,31.4,38,350,0.5,175,1875,675,1200,100,2404,29.8,35.4,NA,NA,0,0,,
Natural,Natural,40,31.4,38,350,0.5,175,1875,675,1200,100,2403,29.8,0,NA,NA,0,0,,
Natural,Natural,40,43.6,38,350,0.49,170,1880,680,1200,125,2404,34.8,0,EU,NA,0.75,0,,
Natural,Natural,40,45,38,350,0.5,175,1875,675,1200,110,2403,24,33.7,NA,NA,0,0,,
Natural,Natural,40,34.6,38,350,0.49,170,1880,680,1200,125,2405,34.8,41.3,EU,NA,0.75,0,,
Natural,Natural,40,35.2,38,350,0.5,175,1875,675,1200,100,2403,28.1,0,NA,NA,0,0,,
Natural,Natural,40,35.2,38,350,0.5,175,1875,675,1200,100,2401,28.1,37.6,NA,NA,0,0,,
Natural,Natural,40,35.2,38,350,0.5,175,1875,675,1200,90,2404,21.6,30.1,NA,NA,0,0,,
Natural,Natural,40,35.2,38,350,0.5,175,1875,675,1200,90,2403,21.6,30.1,NA,NA,0,0,,
Natural,Natural,40,45,38,350,0.5,175,1875,675,1200,110,2404,24,0,NA,NA,0,0,,
Natural,Natural,40,63,38,350,0.5,175,1875,675,1200,100,2406,32.3,39.1,NA,NA,0,0,,
Natural,Natural,40,63,38,350,0.5,175,1875,675,1200,100,2406,32.3,0,NA,NA,0,0,,
Natural,Natural,40,52.4,38,350,0.5,175,1865,665,1200,150,2406,24,0,NA,NA,0,0,,
Natural,Natural,40,52.4,38,350,0.5,175,1865,665,1200,150,19.5,0,0,NA,NA,0,0,,
Natural,Natural,40,47.4,38,350,0.5,175,1875,675,1200,75,2404,24.9,0,NA,NA,0,0,,
Natural,Natural,40,47.4,38,350,0.5,175,1875,675,1200,75,2404,24.9,31.2,NA,NA,0,0,,
Crushed,Natural,40,31.1,38,350,0.54,190,1900,700,1200,90,2465,32.8,0,NA,NA,0,0,,
Natural,Natural,40,35.2,38,360,0.5,175,1875,675,1200,90,2405,21.6,0,NA,NA,0,0,,
Natural,Natural,40,0,38,375,0.48,180,1845,645,1200,120,2401,26.2,0,NA,NA,0,0,,
Natural,Natural,40,0,38,375,0.48,180,1845,645,1200,120,2403,26.2,33,NA,NA,0,0,,
Natural,Natural,20,46.2,38,350,0.51,180,1850,648,1202,140,2390,25.1,34.3,NA,NA,0,0,,
Natural,Natural,20,46.2,38,350,0.51,180,1850,648,1202,140,2385,25.1,0,NA,NA,0,0,,
Natural,Natural,20,45.6,38,320,0.52,165,1915,710,1205,120,2407,32.7,0,SP,NA,1,0,,
Natural,Natural,20,45.6,38,320,0.52,165,1915,710,1205,170,2402,0,0,SP,NA,1,0,,
Natural,Natural,20,45.6,38,320,0.52,165,1915,715,1205,170,2407,32.6,40.4,SP,NA,1,0,,
Natural,Natural,40,50.8,38,325,0.5,160,1915,610,1205,100,2408,37.3,0,CI,NA,0.75,0,,
Natural,Natural,40,50.8,38,325,0.5,160,1915,710,1205,100,2407,37.3,41.4,CI,NA,0.75,0,,
Crushed,Natural,20,36.9,38,350,0.55,185,1915,710,1205,130,2454,23.5,30.4,SP,NA,3.5,0,,
Crushed,Natural,20,36.9,38,350,0.55,185,1915,710,1205,130,2403,23.5,0,SP,NA,3.5,0,,
Crushed,Natural,20,39.7,38,350,0.53,185,1915,710,1205,120,2453,28.9,36.3,NA,NA,0,0,,
Crushed,Natural,20,39.7,38,350,0.53,185,1915,710,1205,120,2451,28.9,0,NA,NA,0,0,,
Natural,Natural,20,48.2,38,350,0.5,175,1855,650,1205,140,2385,32.5,0,SP,NA,0.9,0,,
Natural,Natural,20,42.2,38,350,0.5,175,1855,650,1205,140,2390,32.5,41.6,SP,NA,0.9,0,,
Natural,Natural,40,53.3,38,350,0.47,165,1885,680,1205,170,2411,28.7,32.9,SP,NA,0.75,0,,
Natural,Natural,40,53.3,38,350,0.47,165,1885,680,1205,150,2418,26.5,29.5,SP,NA,0.75,0,,
Natural,Natural,40,53.3,38,350,0.47,165,1885,680,1205,150,2415,26.5,0,SP,NA,0.75,0,,
Natural,Natural,40,53.3,38,350,0.47,165,1885,680,1205,170,2413,28.7,0,SP,NA,0.75,0,,
Natural,Natural,40,29.9,38,350,0.49,170,1880,675,1205,170,2445,26.6,0,NA,NA,0,0,,
Natural,Natural,40,29.9,38,350,0.49,170,1880,675,1205,170,2405,26.6,31.5,NA,NA,0,0,,
Natural,Natural,40,17.1,38,350,0.49,170,1880,675,1205,90,2404,22.4,0,NA,NA,0,0,,
Natural,Natural,40,17.1,38,350,0.49,170,1880,675,1205,90,2403,22.4,27.9,NA,NA,0,0,,
Natural,Natural,40,62.8,38,350,0.5,175,1855,650,1205,150,2388,19,0,NA,NA,0,0,,
Natural,Natural,40,36,38,350,0.49,170,1880,675,1205,100,2400,25.3,0,NA,NA,0,0,,
Natural,Natural,40,53.2,38,365,0.49,180,1885,650,1205,150,2405,23.4,0,NA,NA,0,0,,
Natural,Natural,40,53.2,38,365,0.49,180,1885,650,1205,150,2403,23.4,29.1,NA,NA,0,0,,
Natural,Natural,20,45.6,38,340,0.5,170,1890,660,1210,200,2406,32,0,SP,NA,1,0,,
Natural,Natural,20,45.6,38,340,0.5,170,1890,680,1210,200,2402,32,42.2,SP,NA,1,0,,
Natural,Natural,20,52,38,350,0.54,190,1860,650,1210,130,2405,24.2,35,NA,NA,0,0,,
Natural,Natural,20,52,38,350,0.54,190,1860,650,1210,130,2404,24.2,0,NA,NA,0,0,,
Natural,Natural,40,23.7,38,350,0.5,175,1865,655,1210,110,2394,31.5,36.1,NA,NA,0,0,,
Natural,Natural,40,23.7,38,350,0.5,175,1865,655,1210,110,2394,38.5,0,NA,NA,0,0,,
Natural,Natural,40,37.2,38,325,0.52,107,1905,690,1215,140,2401,27.6,36.1,SP,NA,1,0,,
Natural,Natural,40,37.2,38,325,0.52,170,1905,690,1215,140,2404,27.6,0,SP,NA,1,0,,
Natural,Natural,40,41.6,38,350,0.51,180,1870,655,1215,90,2404,20.5,26.1,NA,NA,0,0,,
Natural,Natural,40,41.6,38,350,0.51,180,1870,655,1215,90,2403,20.5,0,NA,NA,0,0,,
Natural,Natural,40,60.6,38,350,0.51,180,1870,655,1215,140,2405,15.7,21,NA,NA,0,0,,
Natural,Natural,40,60.6,38,350,0.51,180,1870,655,1215,110,2404,23,0,NA,NA,0,0,,
Natural,Natural,40,58.9,38,350,0.52,180,1870,655,1215,120,24003,27.4,34.3,NA,NA,0,0,,
Natural,Natural,40,58.9,38,350,0.51,180,1870,655,1215,150,2405,24.2,0,NA,NA,0,0,,
Natural,Natural,40,58.9,38,350,0.51,180,1870,655,1215,120,2409,27.4,0,NA,NA,0,0,,
Natural,Natural,40,62,38,350,0.5,175,1870,655,1215,130,2398,23.1,0,NA,NA,0,0,,
Natural,Natural,40,61,38,360,0.5,175,1850,635,1215,140,2391,25,30.4,NA,NA,0,0,,
Natural,Natural,40,61,38,380,0.5,175,1850,635,1215,149,2391,25,0,NA,NA,0,0,,
Natural,Natural,40,45,38,330,0.48,160,1910,690,1220,180,2403,32,0,CO,NA,1,0,,
Natural,Natural,40,45,38,330,0.48,160,1910,690,1220,180,2404,32,45.5,CO,NA,1,0,,
Crushed,Natural,20,29.1,38,350,0.54,190,1910,690,1220,100,2451,25.9,35.5,NA,NA,0,0,,
Crushed,Natural,20,32.5,38,350,0.54,190,1910,690,1220,120,2451,32.5,43,NA,NA,0,0,,
Crushed,Natural,20,32.5,38,350,0.54,190,1910,690,1220,120,2452,32.4,0,NA,NA,0,0,,
Crushed,Natural,20,54.2,38,350,0.54,190,1910,690,1220,120,2453,31.1,39.1,NA,NA,0,0,,
Crushed,Natural,20,33.1,38,350,0.54,190,1910,690,1220,110,2455,26.8,35.5,NA,NA,0,0,,
Crushed,Natural,20,29.1,38,350,0.54,190,1910,690,1220,100,2456,25.9,0,NA,NA,0,0,,
Crushed,Natural,20,33.1,38,350,0.54,190,1910,690,1220,110,2459,26.8,0,NA,NA,0,0,,
Crushed,Natural,20,54.1,38,350,0.54,190,1910,690,1220,120,2450,31.1,0,NA,NA,0,0,,
Natural,Natural,40,59.5,38,325,0.5,160,1915,690,1225,70,2405,18.7,0,CI,NA,0.75,0,,
Natural,Natural,40,59.5,38,325,0.5,160,1915,690,1225,70,2404,38.7,40.7,CI,NA,0.75,0,,
Natural,Natural,20,48.2,38,340,0.5,170,1855,630,1225,140,2388,26.3,38.1,SI,NA,0.8,0,,
Natural,Natural,20,59.7,38,340,0.5,170,1855,630,1225,115,2388,26.3,0,SI,NA,0.8,0,,
Natural,Natural,20,56.7,38,340,0.5,170,1855,630,1225,180,2386,28.1,0,SI,NA,0.8,0,,
Natural,Natural,20,59.7,38,340,0.5,170,1855,630,1225,180,2382,28.1,36.9,SI,NA,0.8,0,,
Natural,Natural,40,0,38,350,0.47,165,1915,690,1225,140,202,32.1,0,SI,NA,1,0,,
Natural,Natural,40,0,38,350,0.47,165,1915,690,1225,140,2401,32.1,40.7,SI,NA,1,0,,
Natural,Natural,20,73,38,335,0.52,175,1890,660,1230,170,2409,21.3,0,SP,NA,1.2,0,,
Natural,Natural,20,73,38,335,0.51,171,1890,660,1230,200,2410,27.7,0,SP,NA,1,0,,
Natural,Natural,20,73,38,335,0.51,171,1890,660,1230,200,2407,27.7,39.3,SP,NA,0,0,,
Natural,Natural,20,73,38,335,0.52,175,1890,660,1230,170,2406,21.5,28.4,SP,NA,0,0,,
Natural,Natural,40,36.5,38,350,0.51,180,1870,640,1230,85,2404,27.4,37.3,NA,NA,0,0,,
Natural,Natural,40,36.5,38,350,0.51,180,1870,640,1230,80,2400,27.4,0,NA,NA,0,0,,
